player,runs,mins,bf,4s,6s,sr,inns,match_type,opposition,ground,start_date
player,runs,mins,bf,4s,6s,sr,inns,match_type,opposition,ground,start_date,
SS Das,14,59,47,2,0,29.78,1,,Test v Australia,Mumbai,27 Feb 2001,
S Ramesh,2,17,12,0,0,16.66,1,,Test v Australia,Mumbai,27 Feb 2001,
R Dravid,9,33,19,1,0,47.36,1,,Test v Australia,Mumbai,27 Feb 2001,
SR Tendulkar,76,138,114,13,0,66.66,1,,Test v Australia,Mumbai,27 Feb 2001,
SC Ganguly,8,38,22,2,0,36.36,1,,Test v Australia,Mumbai,27 Feb 2001,
VVS Laxman,20,78,44,3,0,45.45,1,,Test v Australia,Mumbai,27 Feb 2001,
NR Mongia,26*,112,76,2,0,34.21,1,,Test v Australia,Mumbai,27 Feb 2001,
AB Agarkar,0,17,12,0,0,0.00,1,,Test v Australia,Mumbai,27 Feb 2001,
J Srinath,12,61,57,1,0,21.05,1,,Test v Australia,Mumbai,27 Feb 2001,
Harbhajan Singh,0,10,11,0,0,0.00,1,,Test v Australia,Mumbai,27 Feb 2001,
RL Sanghvi,2,17,16,0,0,12.50,1,,Test v Australia,Mumbai,27 Feb 2001,
SS Das,7,71,50,0,0,14.00,3,,Test v Australia,Mumbai,27 Feb 2001,
S Ramesh,44,108,84,7,0,52.38,3,,Test v Australia,Mumbai,27 Feb 2001,
R Dravid,39,259,196,5,0,19.89,3,,Test v Australia,Mumbai,27 Feb 2001,
NR Mongia,28,52,29,4,1,96.55,3,,Test v Australia,Mumbai,27 Feb 2001,
SR Tendulkar,65,153,107,11,0,60.74,3,,Test v Australia,Mumbai,27 Feb 2001,
SC Ganguly,1,20,13,0,0,7.69,3,,Test v Australia,Mumbai,27 Feb 2001,
VVS Laxman,12,27,27,3,0,44.44,3,,Test v Australia,Mumbai,27 Feb 2001,
AB Agarkar,0,20,15,0,0,0.00,3,,Test v Australia,Mumbai,27 Feb 2001,
Harbhajan Singh,17*,55,31,2,0,54.83,3,,Test v Australia,Mumbai,27 Feb 2001,
RL Sanghvi,0,8,6,0,0,0.00,3,,Test v Australia,Mumbai,27 Feb 2001,
J Srinath,0,9,8,0,0,0.00,3,,Test v Australia,Mumbai,27 Feb 2001,
SS Das,20,53,48,3,0,41.66,2,,Test v Australia,Kolkata,11 Mar 2001,
S Ramesh,0,6,3,0,0,0.00,2,,Test v Australia,Kolkata,11 Mar 2001,
R Dravid,25,115,82,4,0,30.48,2,,Test v Australia,Kolkata,11 Mar 2001,
SR Tendulkar,10,25,18,2,0,55.55,2,,Test v Australia,Kolkata,11 Mar 2001,
SC Ganguly,23,61,51,4,0,45.09,2,,Test v Australia,Kolkata,11 Mar 2001,
VVS Laxman,59,122,83,12,0,71.08,2,,Test v Australia,Kolkata,11 Mar 2001,
NR Mongia,2,7,4,0,0,50.00,2,,Test v Australia,Kolkata,11 Mar 2001,
Harbhajan Singh,4,17,15,1,0,26.66,2,,Test v Australia,Kolkata,11 Mar 2001,
Z Khan,3,24,19,0,0,15.78,2,,Test v Australia,Kolkata,11 Mar 2001,
SLV Raju,4,17,15,0,0,26.66,2,,Test v Australia,Kolkata,11 Mar 2001,
BKV Prasad,7*,47,23,0,0,30.43,2,,Test v Australia,Kolkata,11 Mar 2001,
SS Das,39,125,99,7,0,39.39,3,,Test v Australia,Kolkata,11 Mar 2001,
S Ramesh,30,66,43,6,0,69.76,3,,Test v Australia,Kolkata,11 Mar 2001,
VVS Laxman,281,631,452,44,0,62.16,3,,Test v Australia,Kolkata,11 Mar 2001,
SR Tendulkar,10,26,23,2,0,43.47,3,,Test v Australia,Kolkata,11 Mar 2001,
SC Ganguly,48,128,81,8,0,59.25,3,,Test v Australia,Kolkata,11 Mar 2001,
R Dravid,180,446,353,20,0,50.99,3,,Test v Australia,Kolkata,11 Mar 2001,
NR Mongia,4,18,10,0,0,40.00,3,,Test v Australia,Kolkata,11 Mar 2001,
Z Khan,23*,19,15,3,0,153.33,3,,Test v Australia,Kolkata,11 Mar 2001,
Harbhajan Singh,8*,11,6,1,0,133.33,3,,Test v Australia,Kolkata,11 Mar 2001,
BKV Prasad,DNB,-,-,-,-,-,3,,Test v Australia,Kolkata,11 Mar 2001,
SLV Raju,DNB,-,-,-,-,-,3,,Test v Australia,Kolkata,11 Mar 2001,
SS Das,84,261,186,10,1,45.16,2,,Test v Australia,Chennai,18 Mar 2001,
S Ramesh,61,164,133,6,0,45.86,2,,Test v Australia,Chennai,18 Mar 2001,
VVS Laxman,65,125,87,11,0,74.71,2,,Test v Australia,Chennai,18 Mar 2001,
SR Tendulkar,126,346,230,15,2,54.78,2,,Test v Australia,Chennai,18 Mar 2001,
SC Ganguly,22,114,76,3,0,28.94,2,,Test v Australia,Chennai,18 Mar 2001,
R Dravid,81,178,140,12,1,57.85,2,,Test v Australia,Chennai,18 Mar 2001,
SS Dighe,4,32,24,0,0,16.66,2,,Test v Australia,Chennai,18 Mar 2001,
SV Bahutule,21*,88,58,1,1,36.20,2,,Test v Australia,Chennai,18 Mar 2001,
Z Khan,4,25,20,0,0,20.00,2,,Test v Australia,Chennai,18 Mar 2001,
Harbhajan Singh,2,2,3,0,0,66.66,2,,Test v Australia,Chennai,18 Mar 2001,
NM Kulkarni,4,50,38,0,0,10.52,2,,Test v Australia,Chennai,18 Mar 2001,
SS Das,9,35,17,2,0,52.94,4,,Test v Australia,Chennai,18 Mar 2001,
S Ramesh,25,98,53,3,0,47.16,4,,Test v Australia,Chennai,18 Mar 2001,
VVS Laxman,66,136,82,12,0,80.48,4,,Test v Australia,Chennai,18 Mar 2001,
SR Tendulkar,17,27,17,3,0,100.00,4,,Test v Australia,Chennai,18 Mar 2001,
SC Ganguly,4,9,5,1,0,80.00,4,,Test v Australia,Chennai,18 Mar 2001,
